"Site","Site_code","Date","Depth_m","Distance","Dry_start","Dry_end","HIX","BIX","FI","Peak_A","Peak_T","A_T","a254_m","SUVA254","d18O_VSMOW","d2H_VSMOW","D_excess","DOC_mgL","DON_mgL","DN_mgL","NO3NO2_ugL","NH4_ugL","SRP_ugL","Chla_ugL"
50,"P2",2024-05-22,0.1,1527.3528,NA,NA,2.375131077,0.707169379,1.473058899,0.18845954,0.121023479,1.557214704,12.2059,3.58997058823529,-4.995549025,-30.47053979,9.49385241,3.4,0.259,0.27,2,9,5,1.45245
50,"P2",2024-05-22,1.5,1527.3528,NA,NA,3.143223121,0.712686986,1.468947893,0.190048785,0.069756674,2.724453072,12.6665,3.72544117647059,-5.114038908,-31.13485821,9.777453054,3.4,0.041,0.05,1,8,7,NA
50,"P2",2024-05-22,6,1527.3528,NA,NA,4.135548636,0.666203795,1.49191883,0.225347402,0.07277182,3.096630024,12.8968,4.03025,-5.334660637,-31.28004,11.397245096,3.2,0.042,0.05,2,6,6,NA
50,"P2",2024-05-22,9,1527.3528,NA,NA,6.192193663,0.65531959,1.48606823,0.235049056,0.055778988,4.213935436,11.2847,4.51388,-5.193265165,-33.04606175,8.50005957,2.5,-0.021,0.06,69,12,10,NA
50,"P2",2024-05-22,20,1527.3528,NA,NA,6.474405058,0.656928974,1.481236698,0.240330354,0.056100257,4.283943921,10.8241,4.51004166666667,-5.378505489,-31.81401715,11.214026762,2.4,0.132,0.3,157,11,5,NA
50,"P2",2024-06-19,0.1,1527.3528,103.632,178.6128,1.728875221,0.769480817,1.424720719,0.202716532,0.119343391,1.698598721,15.4301,3.67383333333333,-4.669238505,-28.49812266,8.85578538,4.2,0.45,0.49,4,36,4,0.9547
50,"P2",2024-06-19,1.5,1527.3528,103.632,178.6128,2.41591183,0.73320604,1.511189639,0.168427439,0.094049287,1.790842269,11.2847,3.2242,-4.571451035,-28.69572777,7.87588051,3.5,0.222,0.235,1,12,7.5,NA
50,"P2",2024-06-19,6,1527.3528,103.632,178.6128,4.992861787,0.675247704,1.547859983,0.2398043,0.066908298,3.584074139,11.7453,3.55918181818182,-5.131117869,-32.44205914,8.606883812,3.3,0.192,0.2,1,7,5,NA
50,"P2",2024-06-19,9,1527.3528,103.632,178.6128,4.135721691,0.677721931,1.502780728,0.254592471,0.095770588,2.658357611,11.515,5.23409090909091,-5.34318914,-32.63149556,10.11401756,2.2,0.182,0.24,48,10,5,NA
50,"P2",2024-06-19,20,1527.3528,103.632,178.6128,4.944038052,0.662804257,1.469982641,0.25960809,0.068850794,3.770589649,12.2059,6.10295,-5.49437516,-32.02899032,11.92601096,2,0.139,0.29,133,18,5,NA
50,"P2",2024-07-11,0.1,1527.3528,68.58,202.692,2.351465775,0.729421994,1.486790168,0.162116985,0.093783593,1.728628424,10.5938,3.3105625,-4.313957944,-26.79143872,7.720224832,3.2,0.226,0.24,2,12,6,0.8592
50,"P2",2024-07-11,1.5,1527.3528,68.58,202.692,2.758133507,0.757702561,1.447295829,0.150325707,0.068242271,2.202823905,9.9029,3.41479310344828,-4.302495184,-27.04437644,7.375585032,2.9,0.036,0.05,1,13,6,NA
50,"P2",2024-07-11,6,1527.3528,68.58,202.692,2.256142774,0.733707276,1.528743396,0.197195341,0.119750261,1.646721605,11.7453,3.7888064516129,-4.457052345,-27.81141748,7.84500128,3.1,0.174,0.18,1,5,6,NA
50,"P2",2024-07-11,9,1527.3528,68.58,202.692,5.483048225,0.680817055,1.51508984,0.250597129,0.068902039,3.637006003,10.3635,2.961,-5.154617492,-31.62354887,9.613391066,3.5,0.221,0.3,53,26,12,NA
50,"P2",2024-07-11,20,1527.3528,68.58,202.692,5.606772013,0.643146051,1.492872311,0.311515878,0.081208797,3.835986856,13.818,6.00782608695652,-5.226853441,-32.25823669,9.55659083800001,2.3,0.14,0.44,8,292,6,NA
50,"P2",2024-08-14,0.1,1527.3528,68.58,231.648,2.701299188,0.745461977,1.474711682,0.134848161,0.062843668,2.145771653,8.7514,3.50056,-4.045379272,-26.19895807,6.164076106,2.5,0.154,0.16,2,4,3,1.7184
50,"P2",2024-08-14,1.5,1527.3528,68.58,231.648,2.666328282,0.755918824,1.494673721,0.146159347,0.071214818,2.052372679,9.6726,2.84488235294118,-4.063604914,-26.13867297,6.370166342,3.4,0.17,0.18,0,10,5,NA
50,"P2",2024-08-14,6,1527.3528,68.58,231.648,3.855229463,0.720693025,1.577162865,0.207765102,0.076175249,2.727462084,10.1332,3.89738461538462,-4.430674841,-27.98227201,7.463126718,2.6,0.21,0.22,2,8,4,NA
50,"P2",2024-08-14,9,1527.3528,68.58,231.648,5.468693285,0.691360499,1.516101683,0.252072183,0.068739202,3.667080456,10.1332,3.49420689655172,-5.064380275,-31.00289898,9.51214322,2.9,-0.014,0.06,64,10,1,NA
50,"P2",2024-08-14,20,1527.3528,68.58,231.648,4.605661962,0.64413299,1.538559677,0.363958236,0.124744144,2.917637858,14.2786,3.85908108108108,-5.348673552,-32.38188049,10.407507926,3.7,1.012,2.21,28,1170,6,NA
50,"P2",2024-09-16,0.1,1527.3528,0.9144,326.7456,2.017964327,0.802629862,1.468285053,0.157318365,0.090912423,1.730438594,9.9029,2.8294,-3.737797354,-25.08782447,4.814554362,3.5,0.198,0.22,3,19,14,2.6557
50,"P2",2024-09-16,1.5,1527.3528,0.9144,326.7456,2.361814485,0.784913545,1.493943286,0.142964464,0.077771861,1.83825437,8.9817,2.42748648648649,-3.72577222,-25.76587555,4.04030221,3.7,0.231,0.25,3,16,11,NA
50,"P2",2024-09-16,6,1527.3528,0.9144,326.7456,2.461477649,0.784364275,1.470037994,0.140307292,0.07174804,1.955555752,8.7514,2.57394117647059,-3.760951552,-25.17475767,4.912854746,3.4,0.22,0.23,0,10,6,NA
50,"P2",2024-09-16,9,1527.3528,0.9144,326.7456,6.099495267,0.699294536,1.538044564,0.227861448,0.056680635,4.020093395,8.2908,3.18876923076923,-5.379984999,-30.34092612,12.698953872,2.6,0.142,0.25,95,13,5,NA
50,"P2",2024-09-16,20,1527.3528,0.9144,326.7456,5.554010723,0.650415303,1.553944202,0.431508615,0.124396976,3.468803087,15.4301,6.70873913043478,-5.315001411,-32.26051083,10.259500458,2.3,0.586,2.94,4,2350,5,NA
50,"P2",2024-09-30,0.1,1527.3528,NA,NA,2.748953088,0.741398791,1.49484657,0.196535805,0.101173798,1.942556356,11.515,4.26481481481482,-3.917560023,-24.66462967,6.675850514,2.7,0.188,0.22,4,28,7,NA
50,"P2",2024-09-30,1.5,1527.3528,NA,NA,3.430892708,0.704307398,1.488512457,0.171916229,0.068894552,2.495353028,10.1332,2.5333,-3.892138372,-24.91053209,6.226574886,4,0.224,0.23,0,6,5,NA
50,"P2",2024-09-30,6,1527.3528,NA,NA,4.621271359,0.647905488,1.497850086,0.233036853,0.066371169,3.511115691,12.8968,3.39389473684211,-4.037124089,-25.22749745,7.069495262,3.8,0.216,0.23,6,8,7,NA
50,"P2",2024-09-30,9,1527.3528,NA,NA,6.350241769,0.627674331,1.481743611,0.309535357,0.068546304,4.515711835,13.5877,3.99638235294118,-4.735762059,-29.40529406,8.480802412,3.4,0.398,0.49,79,13,2,NA
50,"P2",2024-09-30,20,1527.3528,NA,NA,6.159369147,0.695969409,1.553312738,0.28753704,0.075084432,3.829516099,10.3635,4.71068181818182,-5.267003863,-32.38554149,9.750489414,2.2,0.17,0.73,67,493,7,NA
50,"P2",2024-10-28,0.1,1527.3528,82.296,196.2912,4.60909537,0.680028901,1.467739825,0.263965511,0.083582664,3.158137076,13.1271,3.54786486486486,-4.105390998,-26.97441525,5.868712734,3.7,0.171,0.2,14,15,5,9.2169
50,"P2",2024-10-28,1.5,1527.3528,82.296,196.2912,4.834232203,0.694259637,1.453597412,0.268239008,0.075397135,3.557681687,13.3574,4.04769696969697,-4.315483987,-26.31358028,8.210291616,3.3,0.356,0.38,10,14,6,NA
50,"P2",2024-10-28,6,1527.3528,82.296,196.2912,4.356770922,0.684806368,1.463902162,0.262351448,0.089182866,2.941724791,13.1271,3.7506,-4.194839137,-26.67381021,6.884902886,3.5,0.04,0.06,12,8,5,NA
50,"P2",2024-10-28,9,1527.3528,82.296,196.2912,4.720333081,0.679484409,1.455561591,0.261925551,0.078419032,3.340076332,13.1271,4.10221875,-4.209619075,-26.86579562,6.81115698,3.2,0.021,0.06,30,9,4,NA
50,"P2",2024-10-28,20,1527.3528,82.296,196.2912,5.442796816,0.711274374,1.572000821,0.311223784,0.085583184,3.636506245,12.8968,4.96030769230769,-5.122379853,-31.04597888,9.933059944,2.6,0.15,0.6,107,343,7,NA
50,"P2",2024-12-17,0.1,1527.3528,NA,NA,4.094174075,0.736912236,1.497431276,0.249115338,0.079022327,3.152467742,11.515,4.1125,-4.295507469,-27.08981596,7.274243792,2.8,0.159,0.2,30,11,5,6.8736
50,"P2",2024-12-17,1.5,1527.3528,NA,NA,4.587578123,0.719380457,1.456934107,0.246045464,0.073581901,3.343831303,11.515,3.29,-4.212791563,-26.57145125,7.130881254,3.5,0.234,0.28,32,14,2,NA
50,"P2",2024-12-17,6,1527.3528,NA,NA,4.609684525,0.705550249,1.445367272,0.246625002,0.073642476,3.348950426,11.515,3.97068965517241,-4.317596011,-26.97799108,7.562777008,2.9,0.151,0.2,33,16,0,NA
50,"P2",2024-12-17,9,1527.3528,NA,NA,4.662489902,0.70380309,1.45046042,0.242432345,0.073201623,3.311843862,11.515,3.03026315789474,-4.351254554,-26.24308638,8.566950052,3.8,0.276,0.32,34,10,2,NA
50,"P2",2024-12-17,20,1527.3528,NA,NA,4.988804282,0.683752644,1.560017852,0.290153219,0.082843672,3.502418602,13.5877,4.68541379310345,-4.710753688,-29.49029811,8.195731394,2.9,0.144,0.28,85,51,1,NA
50,"P2",2025-02-26,0.1,1527.3528,NA,NA,2.430638119,0.671574628,1.478143072,0.270080105,0.137946511,1.957861082,13.818,4.318125,-5.080880905,-31.04948886,9.59755838,3.2,0.158,0.26,92,10,2,3.4368
50,"P2",2025-02-26,1.5,1527.3528,NA,NA,3.861323283,0.664901812,1.439567102,0.263254426,0.085633337,3.074204911,14.9695,4.40279411764706,-5.083199741,-30.95400004,9.711597888,3.4,0.244,0.35,94,12,0,NA
50,"P2",2025-02-26,6,1527.3528,NA,NA,4.294344768,0.669852276,1.453357537,0.251412928,0.077981452,3.2240093,12.8968,4.29893333333333,-5.298035279,-30.50215973,11.882122502,3,0.138,0.24,94,8,2,NA
50,"P2",2025-02-26,9,1527.3528,NA,NA,5.848667207,0.649783346,1.428531642,0.255068107,0.062930106,4.053196819,12.6665,3.42337837837838,-5.262980997,-30.9514191,11.152428876,3.7,0.166,0.27,96,8,2,NA
50,"P2",2025-02-26,20,1527.3528,NA,NA,5.171457261,0.654851446,1.450619658,0.247715137,0.062909261,3.937657735,12.8968,4.03025,-5.229992029,-30.50043364,11.339502592,3.2,0.173,0.28,96,11,0,NA
50,"P2",2025-04-16,0.1,1527.3528,NA,NA,1.706263116,0.691910109,1.417384401,0.223954475,0.094060511,2.380961723,14.2786,5.94941666666667,-5.05623072,-30.85248669,9.59735907,2.4,0.201,0.21,0,9,0,3.9523
50,"P2",2025-04-16,1.5,1527.3528,NA,NA,2.988154325,0.677727959,1.419123325,0.222407258,0.10622857,2.093667057,13.1271,3.54786486486486,-5.220153245,-31.04323989,10.71798607,3.7,0.198,0.21,1,11,9,NA
50,"P2",2025-04-16,6,1527.3528,NA,NA,4.008178461,0.674568554,1.411906532,0.220826745,0.084497413,2.613414269,13.3574,3.42497435897436,-5.110019811,-31.01839864,9.861759848,3.9,0.193,0.2,1,6,0,NA
50,"P2",2025-04-16,9,1527.3528,NA,NA,4.342351265,0.664135717,1.442036893,0.252758771,0.089463369,2.825276687,13.3574,3.42497435897436,-5.047029338,-32.37741276,7.998821944,3.9,0.189,0.26,55,16,5,NA
50,"P2",2025-04-16,20,1527.3528,NA,NA,3.463824158,0.663839421,1.457915692,0.261707981,0.080519634,3.250238059,13.1271,3.64641666666667,-5.494249823,-30.97198866,12.982009924,3.6,0.171,0.33,87,72,0,NA
88,"P1",2024-05-22,0.1,1013.7648,NA,NA,2.168426172,0.706902332,1.479407592,0.202976526,0.133109363,1.524885407,13.5877,4.38312903225806,-5.060790748,-30.80309838,9.683227604,3.1,0.205,0.21,0,5,5,3.2936
88,"P1",2024-05-22,1.5,1013.7648,NA,NA,3.365311345,0.705057132,1.47604044,0.175652178,0.063917698,2.748099259,11.9756,3.4216,-5.023560092,-30.91526308,9.273217656,3.5,0.207,0.21,0,3,8,NA
88,"P1",2024-05-22,6,1013.7648,NA,NA,4.057523,0.68609475,1.502008026,0.211733394,0.068672584,3.083230349,12.4362,3.8863125,-5.288899437,-31.50302213,10.808173366,3.2,0.182,0.19,4,4,1,NA
