"Site","Site_code","Date","Depth_m","Distance","Dry_start","Dry_end","HIX","BIX","FI","Peak_A","Peak_T","A_T","a254_m","SUVA254","d18O_VSMOW","d2H_VSMOW","D_excess","DOC_mgL","DON_mgL","DN_mgL","NO3NO2_ugL","NH4_ugL","SRP_ugL","Chla_ugL"
88,"P1",2024-05-22,9,1013.7648,NA,NA,4.212898834,0.695525366,1.460044388,0.245583241,0.084974647,2.890076622,12.8968,4.4471724137931,-5.43237469,-32.51076958,10.94822794,2.9,0.154,0.23,56,20,7,NA
88,"P1",2024-05-22,13,1013.7648,NA,NA,5.792792912,0.665680073,1.49104651,0.237488171,0.06027827,3.939863736,11.2847,4.51388,-5.474781844,-32.11288204,11.685372712,2.5,0.138,0.27,118,14,7,NA
88,"P1",2024-06-19,0.1,1013.7648,103.632,178.6128,2.816692731,0.758254917,1.476607619,0.156451401,0.068827394,2.273097831,11.2847,3.76156666666667,-4.694803804,-28.65249446,8.905935972,3,0.197,0.21,6,7,4,0.8592
88,"P1",2024-06-19,1.5,1013.7648,103.632,178.6128,2.897329333,0.750736064,1.471517731,0.150835459,0.070689685,2.133769024,11.0544,3.6848,-4.541424162,-29.05957107,7.271822226,3,0.212,0.22,4,4,6,NA
88,"P1",2024-06-19,6,1013.7648,103.632,178.6128,4.5648013055,0.6994008635,1.5434900075,0.22017824,0.066464226,3.330278949,11.7453,3.55918181818182,-5.20173606,-31.19403295,10.41985553,3.3,0.196,0.2,0,4,5,NA
88,"P1",2024-06-19,9,1013.7648,103.632,178.6128,4.417030324,0.695980035,1.504330519,0.24024012,0.082035023,2.928506783,11.9756,7.98373333333333,-5.292103913,-32.2327066,10.104124704,1.5,0.146,0.16,11,3,6,NA
88,"P1",2024-06-19,13,1013.7648,103.632,178.6128,4.283052417,0.680397808,1.465550805,0.250771043,0.091642966,2.736391617,11.515,3.19861111111111,-5.450574185,-31.93923,11.66536348,3.6,0.392,0.53,91,47,6,NA
88,"P1",2024-07-11,0.1,1013.7648,68.58,202.692,2.719729069,0.769581059,1.45299303,0.147851075,0.072889522,2.028427015,10.8241,3.49164516129032,-4.320213901,-26.87063304,7.691078168,3.1,0.215,0.22,0,5,8,1.2888
88,"P1",2024-07-11,1.5,1013.7648,68.58,202.692,2.215772269,0.75530734,1.466565488,0.162114542,0.1030513,1.573144076,11.0544,3.56593548387097,-4.358996612,-26.98818553,7.883787366,3.1,0.1365,0.155,3,15.5,4,NA
88,"P1",2024-07-11,6,1013.7648,68.58,202.692,3.876094877,0.722594837,1.539001813,0.254041844,0.081948247,3.100027802,14.0483,4.13185294117647,-5.143037993,-31.16854697,9.975756974,3.4,0.1885,0.195,0.5,6,3,NA
88,"P1",2024-07-11,9,1013.7648,68.58,202.692,4.809681686,0.6913363835,1.508056887,0.260488859,0.0878654225,2.9762912795,12.2059,4.06863333333333,-5.318586084,-32.38302707,10.165661602,3,0.16,0.21,43,7,6,NA
88,"P1",2024-07-11,12,1013.7648,68.58,202.692,6.47757331,0.680204935,1.466322134,0.25215189,0.061858074,4.076297136,11.0544,4.09422222222222,-5.455469451,-31.7338615,11.909894108,2.7,0.145,0.25,95,10,3,NA
88,"P1",2024-08-14,0.1,1013.7648,68.58,231.648,2.923585555,0.760482465,1.462052293,0.132662944,0.066317585,2.000418785,9.212,5.7575,-4.095135993,-26.10662293,6.654465014,1.6,0.148,0.15,2,0,0,1.7184
88,"P1",2024-08-14,1.5,1013.7648,68.58,231.648,2.637577407,0.758143004,1.446958685,0.138765484,0.074277423,1.868205415,10.1332,3.619,-4.047212939,-26.35351415,6.024189362,2.8,0.17,0.17,0,0,5,NA
88,"P1",2024-08-14,6,1013.7648,68.58,231.648,2.3321626585,0.73647484,1.5204842235,0.1904418365,0.1182212155,1.752831341,11.39985,3.4545,-4.203028837,-27.12828586,6.495944836,3.3,0.211,0.22,1,8,7,NA
88,"P1",2024-08-14,9,1013.7648,68.58,231.648,4.982283004,0.680221362,1.537019625,0.25701512,0.075171198,3.419063775,10.8241,3.73244827586207,-5.202572515,-31.33431816,10.28626196,2.9,0.194,0.28,78,8,6,NA
88,"P1",2024-08-14,10,1013.7648,68.58,231.648,5.69139721,0.676743732,1.514808059,0.262798144,0.066116456,3.974776624,11.0544,8.50338461538461,-5.175320198,-32.00757751,9.394984074,1.3,0.124,0.21,79,7,4,NA
88,"P1",2024-09-16,0.1,1013.7648,0.9144,326.7456,2.376922725,0.806760085,1.409611412,0.13681837,0.077308567,1.76976984,9.4423,2.95071875,-3.889834747,-24.93429287,6.184385106,3.2,0.204,0.21,4,2,6,3.2936
88,"P1",2024-09-16,1.5,1013.7648,0.9144,326.7456,2.2031142055,0.8110526935,1.449045798,0.132291525,0.091397883,1.485961034,9.32715,5.48655882352941,-3.719594057,-24.68691696,5.069835496,1.7,0.157,0.17,1,12,7,NA
88,"P1",2024-09-16,6,1013.7648,0.9144,326.7456,1.583469403,0.881407048,1.45679403,0.146683978,0.192815431,0.760748123,9.6726,4.03025,-3.754355352,-25.20070549,4.834137326,2.4,0.182,0.19,0,8,5,NA
88,"P1",2024-09-16,9,1013.7648,0.9144,326.7456,5.718733912,0.695258157,1.533286645,0.240585934,0.06200874,3.879871358,10.1332,3.82384905660377,-5.123813661,-31.36666229,9.623846998,2.65,0.1515,0.255,97,6.5,3.5,NA
88,"P1",2024-09-16,10,1013.7648,0.9144,326.7456,5.416307035,0.694237508,1.539007472,0.262345602,0.083861767,3.128309993,10.3635,3.83833333333333,-5.394602583,-31.92978283,11.227037834,2.7,0.148,0.28,120,12,8,NA
88,"P1",2024-09-30,0.1,1013.7648,NA,NA,2.572104541,0.741841089,1.466932212,0.1797447,0.081406503,2.20798945,12.2059,3.39052777777778,-4.071325938,-24.77789222,7.792715284,3.6,0.19,0.2,0,10,6,4.7256
88,"P1",2024-09-30,1.5,1013.7648,NA,NA,3.067037869,0.731589112,1.451772198,0.171875813,0.074984072,2.29216429,11.0544,3.4545,-4.174827382,-24.44959361,8.949025446,3.2,0.204,0.21,0,6,5,NA
88,"P1",2024-09-30,6,1013.7648,NA,NA,3.019671418,0.6712666355,1.474560137,0.288674575,0.1857638215,2.059398108,16.92705,4.97854411764706,-3.96917092,-25.73963118,6.01373618,3.4,0.179,0.19,7,4,0,NA
88,"P1",2024-09-30,9,1013.7648,NA,NA,4.56405052,0.691650231,1.49330096,0.285162407,0.092144363,3.094735224,13.1271,4.86188888888889,-4.864794558,-29.9368444,8.981512064,2.7,0.125,0.23,100,5,4,NA
88,"P1",2024-09-30,11,1013.7648,NA,NA,5.907027558,0.679045404,1.508901512,0.26891618,0.0622917,4.317046722,11.0544,3.56593548387097,-5.364313474,-31.01285504,11.901652752,3.1,0.185,0.32,125,10,6,NA
88,"P1",2024-10-28,0.1,1013.7648,82.296,196.2912,4.285434467,0.686335676,1.454759435,0.252392531,0.085327406,2.957930446,12.8968,3.6848,-4.230078297,-26.01435309,7.826273286,3.5,0.223,0.24,11,6,3,5.1552
88,"P1",2024-10-28,1.5,1013.7648,82.296,196.2912,4.005209465,0.708473625,1.464973752,0.240984053,0.080158803,3.00633298,13.5877,3.396925,-4.274132298,-25.91904163,8.274016754,4,0.237,0.25,10,3,4,NA
88,"P1",2024-10-28,6,1013.7648,82.296,196.2912,4.761037709,0.692123926,1.468165186,0.267516142,0.080784549,3.311476574,13.5877,4.68541379310345,-4.231797641,-26.10177664,7.752604488,2.9,0.189,0.205,9.5,6.5,3.5,NA
88,"P1",2024-10-28,9,1013.7648,82.296,196.2912,4.944587021,0.676874352,1.464645412,0.262212665,0.078384834,3.345196399,13.1271,4.10221875,-4.393921536,-26.8653873,8.285984988,3.2,0.211,0.25,35,4,4,NA
88,"P1",2024-10-28,11,1013.7648,82.296,196.2912,4.903825288,0.692099937,1.486776582,0.27200862,0.080894136,3.362525791,13.3574,4.30883870967742,-4.543279241,-27.91121693,8.435016998,3.1,0.187,0.28,84,9,7,NA
88,"P1",2024-12-17,0.1,1013.7648,NA,NA,4.561909269,0.717526824,1.47244462,0.243957592,0.071609023,3.406799604,11.7453,3.50605970149254,-4.232129536,-26.80870392,7.048332368,3.35,0.216,0.26,32,12,2,6.0144
88,"P1",2024-12-17,1.5,1013.7648,NA,NA,4.683042839,0.717756062,1.41782706,0.243807893,0.076439942,3.189535297,11.7453,3.17440540540541,-4.207403941,-26.37589516,7.283336368,3.7,0.224,0.27,33,13,0,NA
88,"P1",2024-12-17,6,1013.7648,NA,NA,4.503315562,0.698847752,1.476659559,0.238671015,0.071635165,3.331757753,11.2847,3.17878873239437,-4.250078257,-26.4044799,7.596146156,3.55,0.247,0.29,29.5,13.5,2,NA
88,"P1",2024-12-17,9,1013.7648,NA,NA,4.888170823,0.7131134235,1.465094396,0.2408329695,0.0732372645,3.2949636235,11.2847,3.52646875,-4.292249901,-26.76305969,7.574939518,3.2,0.204,0.25,31,15,0,NA
88,"P1",2024-12-17,11,1013.7648,NA,NA,4.641062914,0.72316501,1.45231664,0.237383476,0.072837589,3.25907926,11.0544,2.98767567567568,-4.236059253,-26.82658472,7.061889304,3.7,0.263,0.31,32,15,0,NA
88,"P1",2025-02-26,0.1,1013.7648,NA,NA,4.696369975,0.644542323,1.445921234,0.261818977,0.074266673,3.525389877,13.818,4.318125,-5.259120309,-31.1544671,10.918495372,3.2,0.203,0.3,89,8,7,3.4368
88,"P1",2025-02-26,1.5,1013.7648,NA,NA,3.598925712,0.653298841,1.463482008,0.278849835,0.112623997,2.475936229,14.5089,3.86904,-5.309116829,-30.42924267,12.043691962,3.75,0.1845,0.285,92.5,8,2.5,NA
88,"P1",2025-02-26,6,1013.7648,NA,NA,5.575027469,0.638869826,1.442179832,0.267351426,0.067624867,3.953448451,13.5877,3.01948888888889,-5.200887628,-31.10630182,10.500799204,4.5,0.303,0.4,85,12,0,NA
88,"P1",2025-02-26,9,1013.7648,NA,NA,4.780171098,0.657664593,1.47392389,0.278341629,0.073133393,3.805944398,14.0483,4.32255384615385,-5.116398386,-31.23212193,9.699065158,3.25,0.175,0.285,95.5,14.5,1,NA
88,"P1",2025-02-26,12,1013.7648,NA,NA,5.160696221,0.653087051,1.458914698,0.2610111285,0.069498778,3.7568954245,13.70285,4.42027419354839,-5.294657185,-30.75892044,11.59833704,3.1,0.148,0.25,93,9,0,NA
88,"P1",2025-04-16,0.1,1013.7648,NA,NA,3.926542411,0.67240052,1.426345336,0.219336176,0.080645413,2.719760085,13.1271,3.86091176470588,-5.268656432,-31.07309951,11.076151946,3.4,0.203,0.21,1,6,2,3.6086
88,"P1",2025-04-16,1.5,1013.7648,NA,NA,4.262635826,0.672657376,1.419775735,0.21839953,0.0757958,2.881419935,12.8968,4.16025806451613,-5.419727813,-30.37131648,12.986506024,3.1,0.171,0.18,0,9,0,NA
88,"P1",2025-04-16,6,1013.7648,NA,NA,4.4727000255,0.6641097325,1.4185593705,0.222088632,0.074711392,2.9726207735,13.1271,3.59646575342466,-5.333295574,-30.21322766,12.453136932,3.65,0.1875,0.195,1,6.5,0,NA
88,"P1",2025-04-16,9,1013.7648,NA,NA,4.88802404,0.654786996,1.459080745,0.244365502,0.074811189,3.266429869,12.6665,4.87173076923077,-5.50188961,-30.76058202,13.25453486,2.6,0.187,0.26,59,14,1,NA
88,"P1",2025-04-16,12,1013.7648,NA,NA,5.4978592825,0.65541953,1.46568836,0.257155883,0.07416993,3.505125642,12.8968,4.03025,-5.365502587,-31.50381622,11.420204476,3.2,0.219,0.33,78,33,0,NA
90,"C2",2024-05-22,0.1,561.7464,NA,NA,3.172375442,0.672189713,1.425093793,0.164157698,0.063497623,2.585257363,11.515,2.9525641025641,-4.936379838,-30.54115201,8.949886694,3.9,0.247,0.25,1,2,8,6.0553
90,"C2",2024-05-22,6,561.7464,NA,NA,4.381018995,0.672130931,1.466901842,0.228488118,0.070508331,3.240583278,12.4362,4.01167741935484,-5.339706258,-32.15692101,10.560729054,3.1,0.196,0.21,9,5,6,NA
90,"C2",2024-06-19,0.1,561.7464,103.632,178.6128,2.8944095205,0.7388893265,1.45741627,0.1578519375,0.07197562,2.1998994875,11.515,3.11216216216216,-4.693734856,-28.97575156,8.574127288,3.7,0.266,0.28,4,10,9,1.1456
90,"C2",2024-06-19,6,561.7464,103.632,178.6128,3.351381187,0.709947542,1.518104693,0.22458829,0.086087971,2.608823127,12.8968,5.37366666666667,-4.80645073,-30.57377625,7.87782959,2.4,0.159,0.2,9,32,8,NA
90,"C2",2024-07-11,0.1,561.7464,68.58,202.692,2.912414225,0.744680888,1.465236214,0.151162638,0.06891306,2.193526702,10.8241,3.38253125,-4.299139442,-27.29828768,7.094827856,3.2,0.165,0.17,4,1,0,1.5466
90,"C2",2024-07-11,5,561.7464,68.58,202.692,3.377067849,0.715703161,1.433543561,0.163658132,0.059935836,2.730555582,11.0544,3.25129411764706,-4.353648931,-27.42465856,7.404532888,3.4,0.19,0.2,0,10,6,NA
90,"C2",2024-08-14,0.1,561.7464,68.58,231.648,2.083657153,0.767226865,1.470752527,0.152247227,0.098537737,1.545065188,10.5938,3.5911186440678,-4.163347493,-25.82824638,7.478533564,2.95,0.1265,0.135,2,6.5,3,2.148
90,"C2",2024-08-14,4,561.7464,68.58,231.648,2.486679277,0.75082418,1.401698039,0.15347567,0.068622573,2.236518743,11.515,3.83833333333333,-4.026228757,-26.12010492,6.089725136,3,0.186,0.19,1,3,5,NA
90,"C2",2024-09-16,0.1,561.7464,0.9144,326.7456,1.482379945,0.855977983,1.42524797,0.144250001,0.168570361,0.855725765,9.9029,6.1893125,-3.724643159,-24.90029869,4.896846582,1.6,0.155,0.16,0,5,5,4.1242
90,"C2",2024-09-16,3,561.7464,0.9144,326.7456,1.70090097,0.852741976,1.444320372,0.142076311,0.140920637,1.008200887,9.6726,3.58244444444444,-3.81229194,-25.05094485,5.44739067,2.7,0.176,0.18,0,4,5,NA
90,"C2",2024-09-30,0.1,561.7464,NA,NA,3.372364453,0.701144434,1.453010452,0.184848302,0.071732415,2.576914528,11.7453,3.3558,-3.904416149,-24.73062138,6.504707812,3.5,0.189,0.19,0,1,7,5.5848
90,"C2",2024-09-30,4,561.7464,NA,NA,3.144976471,0.701538892,1.450244906,0.180232752,0.081889698,2.200920955,11.2847,6.63805882352941,-4.042053783,-24.86639503,7.470035234,1.7,0.145,0.15,0,5,7,NA
90,"C2",2024-10-28,0.1,561.7464,82.296,196.2912,3.866837937,0.699574403,1.458896623,0.261082806,0.090159325,2.895793698,14.0483,3.34483333333333,-4.133545303,-26.20245006,6.865912364,4.2,0.274,0.28,2,4,7,5.023
90,"C2",2024-10-28,4,561.7464,82.296,196.2912,4.073823803,0.695925006,1.460095999,0.255375353,0.089337616,2.858542297,13.5877,3.48402564102564,-4.16405997,-26.17953535,7.13294441,3.9,0.246,0.25,0,4,5,NA
