"Reservoir","Site","Site_code","Date","Depth_m","Distance","Dry_start","Dry_end","Max_Depth_Site_m","Temp_C","DO_mgL","DOsat_percent","SpCond_uScm"
"CCR",92,"C1",2024-07-11,1,345.0336,68.58,202.692,1.3,28.5,8.5,106.3,116.1
"CCR",92,"C1",2024-08-14,0.1,345.0336,68.58,231.648,0.7,27.1,8.01,97.5,116
"CCR",92,"C1",2024-08-14,0.5,345.0336,68.58,231.648,0.7,27.1,7.99,97.8,116
"CCR",96,"B2",2024-08-14,0.1,245.364,68.58,231.648,0.25,26.6,7.26,87.8,96.4
"CCR",98,"B1",2024-08-14,0.1,236.22,68.58,231.648,0.25,25.1,3.37,39.7,59.8
"CCR",100,"S2",2024-08-14,0.1,65.532,68.58,231.648,0.1,19.5,7.93,85.1,50.4
"CCR",101,"S1",2024-08-14,0.1,0,68.58,231.648,0.1,19.6,9.16,98.8,49.5
"CCR",92,"C1",2024-09-16,0.1,335.8896,0.9144,326.7456,0.35,22,9.08,101.2,117.1
"CCR",101,"S1",2024-09-16,0.1,0,0.9144,326.7456,0.1,17,9.4,93.9,65.7
"CCR",92,"C1",2024-09-30,0.1,345.0336,NA,NA,0.9,22.2,8.62,96.5,110.1
"CCR",92,"C1",2024-09-30,0.5,345.0336,NA,NA,0.9,22.1,8.73,97.9,110.2
"CCR",92,"C1",2024-09-30,0.9,345.0336,NA,NA,0.9,21.8,8.21,88.1,110
"CCR",96,"B2",2024-09-30,0.1,240.792,NA,NA,0.2,18.6,8.08,84.1,30.1
"CCR",98,"B1",2024-09-30,0.1,188.6712,NA,NA,0.1,18.5,8.73,91.3,31.3
"CCR",100,"S2",2024-09-30,0.1,124.0536,NA,NA,0.1,18.5,8.72,90.8,31.3
"CCR",101,"S1",2024-09-30,0.1,0,NA,NA,0.1,18.6,9.59,100.3,31.7
"CCR",92,"C1",2024-10-28,0.1,345.0336,82.296,196.2912,0.85,16.7,10.18,99.8,132
"CCR",92,"C1",2024-10-28,0.5,345.0336,82.296,196.2912,0.85,16,10.22,99.2,132.1
"CCR",92,"C1",2024-10-28,0.8,345.0336,82.296,196.2912,0.85,15.5,10.33,98.4,132.7
"CCR",98,"B1",2024-10-28,0.1,197.8152,82.296,196.2912,0.1,12.8,5.98,55.2,42.1
"CCR",96,"B2",2024-10-28,0.1,240.792,82.296,196.2912,0.2,16.7,7.92,80.7,76.1
"CCR",100,"S2",2024-10-28,0.1,80.772,82.296,196.2912,0.1,9.7,8.9,75.9,52.1
"CCR",101,"S1",2024-10-28,0.1,0,82.296,196.2912,0.1,9.3,10.93,92.2,49.7
"CCR",92,"C1",2024-12-17,0.1,345.0336,NA,NA,0.32,8.6,10.94,91.6,33.3
"CCR",96,"B2",2024-12-17,0.1,240.792,NA,NA,0.15,8.1,11.24,92,30.1
"CCR",98,"B1",2024-12-17,0.1,188.6712,NA,NA,0.09,8,11.6,95,31
"CCR",100,"S2",2024-12-17,0.1,124.0536,NA,NA,0.1,8.5,11.34,94.3,31.3
"CCR",101,"S1",2024-12-17,0.1,0,NA,NA,0.1,8.6,11.65,97.7,30.9
"CCR",92,"C1",2025-02-26,0.1,345.0336,NA,NA,2.5,5.1,12.47,96.1,133.9
"CCR",92,"C1",2025-02-26,0.5,345.0336,NA,NA,2.5,5,12.5,95.6,134.4
"CCR",92,"C1",2025-02-26,1,345.0336,NA,NA,2.5,4.8,12.62,96.2,134.7
"CCR",92,"C1",2025-02-26,1.5,345.0336,NA,NA,2.5,4.8,12.65,96.8,136
"CCR",92,"C1",2025-02-26,2,345.0336,NA,NA,2.5,4.7,12.7,96.4,136.1
"CCR",92,"C1",2025-02-26,2.5,345.0336,NA,NA,2.5,4.7,12.71,96.2,136.2
"CCR",96,"B2",2025-02-26,0.1,240.792,NA,NA,2,5.7,12.04,94,55.7
"CCR",96,"B2",2025-02-26,0.5,240.792,NA,NA,2,5.6,12.23,96.3,100.5
"CCR",96,"B2",2025-02-26,1,240.792,NA,NA,2,5.2,12.47,97.2,135.5
"CCR",96,"B2",2025-02-26,1.5,240.792,NA,NA,2,5.1,12.58,96.3,135.7
"CCR",96,"B2",2025-02-26,2,240.792,NA,NA,2,5.1,12.58,96.8,135.2
"CCR",98,"B1",2025-02-26,0.1,188.6712,NA,NA,1.2,5.5,12.56,97.7,25.1
"CCR",98,"B1",2025-02-26,0.5,188.6712,NA,NA,1.2,5.5,12.47,96.4,40.8
"CCR",98,"B1",2025-02-26,1,188.6712,NA,NA,1.2,5.5,12.07,94.6,123.8
"CCR",100,"S2",2025-02-26,0.1,124.0536,NA,NA,0.1,6.5,12.38,98.8,23.6
"CCR",101,"S1",2025-02-26,0.1,0,NA,NA,0.1,6.9,12.18,98.8,23.5
"CCR",92,"C1",2025-04-16,0.1,345.0336,NA,NA,2.1,13.3,10.43,97.3,120.4
"CCR",92,"C1",2025-04-16,0.5,345.0336,NA,NA,2.1,13.1,10.46,96.8,120.9
"CCR",92,"C1",2025-04-16,1,345.0336,NA,NA,2.1,13.1,10.49,97.8,120.7
"CCR",92,"C1",2025-04-16,1.5,345.0336,NA,NA,2.1,12.9,10.46,96.9,120.4
"CCR",92,"C1",2025-04-16,2,345.0336,NA,NA,2.1,12.9,10.47,96.8,120
"CCR",96,"B2",2025-04-16,0.1,240.792,NA,NA,1.1,13.3,10.21,95.4,115.8
"CCR",96,"B2",2025-04-16,0.5,240.792,NA,NA,1.1,12.2,10.23,93.4,91.2
"CCR",96,"B2",2025-04-16,1,240.792,NA,NA,1.1,11.5,10.18,91.8,58.1
"CCR",98,"B1",2025-04-16,0.1,188.6712,NA,NA,1.2,11.3,10.27,92.1,38.6
"CCR",98,"B1",2025-04-16,0.5,188.6712,NA,NA,1.2,11.3,10.31,92,33.9
"CCR",98,"B1",2025-04-16,1,188.6712,NA,NA,1.2,11.2,10.4,92.8,33.4
"CCR",100,"S2",2025-04-16,0.1,124.0536,NA,NA,0.1,11.9,10.4,93.8,30.4
"CCR",101,"S1",2025-04-16,0.1,0,NA,NA,0.1,12.3,10.59,96.8,29.5
"CCR",50,"P2",2024-05-22,0.1,1527.3528,NA,NA,21.6,23.1633,8.7927,102.847,114.589
"CCR",50,"P2",2024-05-22,0.2,1527.3528,NA,NA,21.6,24.0667,8.4427,100.774,115.683
"CCR",50,"P2",2024-05-22,0.3,1527.3528,NA,NA,21.6,23.16,8.7664,102.584,114.534
"CCR",50,"P2",2024-05-22,0.4,1527.3528,NA,NA,21.6,23.1771,8.754,102.538,114.544
"CCR",50,"P2",2024-05-22,0.5,1527.3528,NA,NA,21.6,24.0659,6.8726,87.814,116.047
"CCR",50,"P2",2024-05-22,0.6,1527.3528,NA,NA,21.6,23.0799,8.7586,102.388,114.552
"CCR",50,"P2",2024-05-22,0.7,1527.3528,NA,NA,21.6,23.0573,8.7602,102.189,114.565
"CCR",50,"P2",2024-05-22,0.8,1527.3528,NA,NA,21.6,23.0535,8.7505,102.205,114.53
"CCR",50,"P2",2024-05-22,0.9,1527.3528,NA,NA,21.6,23.0367,8.7769,102.283,114.535
"CCR",50,"P2",2024-05-22,1,1527.3528,NA,NA,21.6,23.0094,8.7582,102.157,114.522
"CCR",50,"P2",2024-05-22,1.1,1527.3528,NA,NA,21.6,22.9737,8.8014,102.776,114.506
"CCR",50,"P2",2024-05-22,1.2,1527.3528,NA,NA,21.6,22.9375,8.8342,103.033,114.533
"CCR",50,"P2",2024-05-22,1.3,1527.3528,NA,NA,21.6,22.9219,8.835,102.951,114.509
"CCR",50,"P2",2024-05-22,1.4,1527.3528,NA,NA,21.6,22.8799,8.8607,102.737,114.446
"CCR",50,"P2",2024-05-22,1.5,1527.3528,NA,NA,21.6,22.8556,8.8617,103.202,114.483
"CCR",50,"P2",2024-05-22,1.6,1527.3528,NA,NA,21.6,22.83,8.8549,103.21,114.381
"CCR",50,"P2",2024-05-22,1.7,1527.3528,NA,NA,21.6,22.756,8.9394,104.128,114.394
"CCR",50,"P2",2024-05-22,1.8,1527.3528,NA,NA,21.6,22.7124,9.0132,104.76,114.427
"CCR",50,"P2",2024-05-22,1.9,1527.3528,NA,NA,21.6,22.704,9.0306,104.855,114.407
"CCR",50,"P2",2024-05-22,2,1527.3528,NA,NA,21.6,22.6627,9.0718,105.189,114.425
"CCR",50,"P2",2024-05-22,2.1,1527.3528,NA,NA,21.6,22.6524,9.0863,105.373,114.425
"CCR",50,"P2",2024-05-22,2.2,1527.3528,NA,NA,21.6,22.646,9.1067,105.677,114.458
"CCR",50,"P2",2024-05-22,2.3,1527.3528,NA,NA,21.6,22.6312,9.0177,104.409,114.495
"CCR",50,"P2",2024-05-22,2.4,1527.3528,NA,NA,21.6,22.6158,9.0638,104.813,114.469
"CCR",50,"P2",2024-05-22,2.5,1527.3528,NA,NA,21.6,22.5342,9.0991,105.52,114.525
"CCR",50,"P2",2024-05-22,2.6,1527.3528,NA,NA,21.6,22.4636,9.1524,106.029,114.514
"CCR",50,"P2",2024-05-22,2.7,1527.3528,NA,NA,21.6,22.2953,9.2128,106.191,114.613
"CCR",50,"P2",2024-05-22,2.8,1527.3528,NA,NA,21.6,22.1607,9.2946,106.518,114.609
"CCR",50,"P2",2024-05-22,2.9,1527.3528,NA,NA,21.6,22.0628,9.32,106.715,114.605
"CCR",50,"P2",2024-05-22,3,1527.3528,NA,NA,21.6,22.0031,9.3213,106.511,114.675
"CCR",50,"P2",2024-05-22,3.1,1527.3528,NA,NA,21.6,21.9173,9.3499,106.653,114.68
"CCR",50,"P2",2024-05-22,3.2,1527.3528,NA,NA,21.6,21.7847,9.3901,107.096,114.725
"CCR",50,"P2",2024-05-22,3.3,1527.3528,NA,NA,21.6,21.6532,9.3791,106.646,114.821
"CCR",50,"P2",2024-05-22,3.4,1527.3528,NA,NA,21.6,21.5709,9.3715,106.367,114.853
"CCR",50,"P2",2024-05-22,3.5,1527.3528,NA,NA,21.6,21.5027,9.3714,105.923,114.966
"CCR",50,"P2",2024-05-22,3.6,1527.3528,NA,NA,21.6,21.3054,9.3506,105.338,114.926
"CCR",50,"P2",2024-05-22,3.7,1527.3528,NA,NA,21.6,21.0554,9.2888,104.247,115.034
"CCR",50,"P2",2024-05-22,3.8,1527.3528,NA,NA,21.6,20.9424,9.2542,103.244,113.878
"CCR",50,"P2",2024-05-22,3.9,1527.3528,NA,NA,21.6,20.8563,9.045,101.407,113.139
"CCR",50,"P2",2024-05-22,4,1527.3528,NA,NA,21.6,20.858,9.0766,101.351,113.084
"CCR",50,"P2",2024-05-22,4.1,1527.3528,NA,NA,21.6,20.8371,9.0676,101.603,113.248
"CCR",50,"P2",2024-05-22,4.2,1527.3528,NA,NA,21.6,20.6695,8.9665,99.352,111.822
"CCR",50,"P2",2024-05-22,4.3,1527.3528,NA,NA,21.6,20.4627,8.7716,97.235,111.199
"CCR",50,"P2",2024-05-22,4.4,1527.3528,NA,NA,21.6,20.2606,8.7016,96.252,110.437
"CCR",50,"P2",2024-05-22,4.5,1527.3528,NA,NA,21.6,20.1516,8.6997,94.97,110.476
"CCR",50,"P2",2024-05-22,4.6,1527.3528,NA,NA,21.6,19.9503,8.6845,95.794,111.732
"CCR",50,"P2",2024-05-22,4.7,1527.3528,NA,NA,21.6,19.7558,8.722,95.282,111.447
"CCR",50,"P2",2024-05-22,4.8,1527.3528,NA,NA,21.6,19.3821,8.6828,94.864,112.722
"CCR",50,"P2",2024-05-22,4.9,1527.3528,NA,NA,21.6,19.1613,8.8535,96.819,115.896
"CCR",50,"P2",2024-05-22,5,1527.3528,NA,NA,21.6,18.8815,9.4864,101.616,116.335
"CCR",50,"P2",2024-05-22,5.1,1527.3528,NA,NA,21.6,18.5501,9.562,102.452,116.573
"CCR",50,"P2",2024-05-22,5.2,1527.3528,NA,NA,21.6,17.659,9.7055,101.415,117.27
"CCR",50,"P2",2024-05-22,5.3,1527.3528,NA,NA,21.6,17.0944,9.8336,101.299,118.069
"CCR",50,"P2",2024-05-22,5.4,1527.3528,NA,NA,21.6,16.6032,9.748,98.178,118.696
"CCR",50,"P2",2024-05-22,5.5,1527.3528,NA,NA,21.6,16.0838,9.2202,92.641,119.036
"CCR",50,"P2",2024-05-22,5.6,1527.3528,NA,NA,21.6,15.7763,9.0732,90.295,119.07
"CCR",50,"P2",2024-05-22,5.7,1527.3528,NA,NA,21.6,15.2027,8.7363,87.188,119.158
"CCR",50,"P2",2024-05-22,5.8,1527.3528,NA,NA,21.6,14.9167,9.0049,88.657,119.161
"CCR",50,"P2",2024-05-22,5.9,1527.3528,NA,NA,21.6,14.5019,8.9192,86.293,119.662
"CCR",50,"P2",2024-05-22,6,1527.3528,NA,NA,21.6,14.5083,8.7915,86.309,119.539
"CCR",50,"P2",2024-05-22,6.1,1527.3528,NA,NA,21.6,14.2671,8.757,84.931,119.869
"CCR",50,"P2",2024-05-22,6.2,1527.3528,NA,NA,21.6,14.0591,8.2952,81.586,119.596
"CCR",50,"P2",2024-05-22,6.3,1527.3528,NA,NA,21.6,13.9416,8.4556,81.268,119.687
"CCR",50,"P2",2024-05-22,6.4,1527.3528,NA,NA,21.6,13.5071,8.2845,79.238,120.122
"CCR",50,"P2",2024-05-22,6.5,1527.3528,NA,NA,21.6,13.6174,8.2658,79.23,119.967
"CCR",50,"P2",2024-05-22,6.6,1527.3528,NA,NA,21.6,13.3052,8.1227,75.295,120.269
"CCR",50,"P2",2024-05-22,6.7,1527.3528,NA,NA,21.6,13.1391,7.7767,73.23,120.275
"CCR",50,"P2",2024-05-22,6.8,1527.3528,NA,NA,21.6,12.8487,7.5619,71.282,120.618
"CCR",50,"P2",2024-05-22,6.9,1527.3528,NA,NA,21.6,12.8361,7.5313,70.506,120.55
"CCR",50,"P2",2024-05-22,7,1527.3528,NA,NA,21.6,12.7083,7.3302,68.781,120.929
"CCR",50,"P2",2024-05-22,7.1,1527.3528,NA,NA,21.6,12.503,7.101,65.166,121.159
"CCR",50,"P2",2024-05-22,7.2,1527.3528,NA,NA,21.6,12.4664,6.7676,64.353,121.137
"CCR",50,"P2",2024-05-22,7.3,1527.3528,NA,NA,21.6,12.293,6.5217,60.74,121.415
"CCR",50,"P2",2024-05-22,7.4,1527.3528,NA,NA,21.6,12.2522,6.4676,60.003,121.463
"CCR",50,"P2",2024-05-22,7.5,1527.3528,NA,NA,21.6,12.0421,6.3046,58.127,121.631
"CCR",50,"P2",2024-05-22,7.6,1527.3528,NA,NA,21.6,12.0538,6.1548,57.731,121.636
"CCR",50,"P2",2024-05-22,7.7,1527.3528,NA,NA,21.6,11.8256,6.1048,55.72,121.823
"CCR",50,"P2",2024-05-22,7.8,1527.3528,NA,NA,21.6,11.7379,5.9671,55.168,122.061
"CCR",50,"P2",2024-05-22,7.9,1527.3528,NA,NA,21.6,11.7056,5.9949,55.044,122.166
"CCR",50,"P2",2024-05-22,8,1527.3528,NA,NA,21.6,11.6504,5.9804,54.918,122.317
"CCR",50,"P2",2024-05-22,8.1,1527.3528,NA,NA,21.6,11.6273,5.9864,54.939,122.423
"CCR",50,"P2",2024-05-22,8.2,1527.3528,NA,NA,21.6,11.5248,6.0843,55.794,122.629
"CCR",50,"P2",2024-05-22,8.3,1527.3528,NA,NA,21.6,11.6093,6.0564,55.732,122.497
"CCR",50,"P2",2024-05-22,8.4,1527.3528,NA,NA,21.6,11.4081,6.0594,55.138,122.774
"CCR",50,"P2",2024-05-22,8.5,1527.3528,NA,NA,21.6,11.3922,5.9618,54.733,122.86
"CCR",50,"P2",2024-05-22,8.6,1527.3528,NA,NA,21.6,11.2646,5.8765,53.556,123.092
"CCR",50,"P2",2024-05-22,8.7,1527.3528,NA,NA,21.6,11.2842,5.8141,53.39,122.942
"CCR",50,"P2",2024-05-22,8.8,1527.3528,NA,NA,21.6,11.123,5.8702,53.794,123.433
"CCR",50,"P2",2024-05-22,8.9,1527.3528,NA,NA,21.6,11.1006,6.0464,54.628,123.461
"CCR",50,"P2",2024-05-22,9,1527.3528,NA,NA,21.6,11.0441,5.9212,52.94,123.549
"CCR",50,"P2",2024-05-22,9.1,1527.3528,NA,NA,21.6,11.0498,5.7947,52.855,123.529
"CCR",50,"P2",2024-05-22,9.2,1527.3528,NA,NA,21.6,11.03,5.8023,52.506,123.584
"CCR",50,"P2",2024-05-22,9.3,1527.3528,NA,NA,21.6,10.9448,5.7637,51.633,123.775
"CCR",50,"P2",2024-05-22,9.4,1527.3528,NA,NA,21.6,10.8865,6.2209,61.106,124.406
"CCR",50,"P2",2024-05-22,9.5,1527.3528,NA,NA,21.6,10.8575,7.1767,65.663,124.635
"CCR",50,"P2",2024-05-22,9.6,1527.3528,NA,NA,21.6,10.8787,6.9189,62.718,124.649
"CCR",50,"P2",2024-05-22,9.7,1527.3528,NA,NA,21.6,10.8139,7.2229,65.139,124.765
"CCR",50,"P2",2024-05-22,9.8,1527.3528,NA,NA,21.6,10.7477,7.2232,64.977,124.933
"CCR",50,"P2",2024-05-22,9.9,1527.3528,NA,NA,21.6,10.7063,7.2906,65.576,125.027
"CCR",50,"P2",2024-05-22,10,1527.3528,NA,NA,21.6,10.7087,7.2819,65.619,125.185
"CCR",50,"P2",2024-05-22,10.1,1527.3528,NA,NA,21.6,10.6661,7.2806,65.594,125.147
"CCR",50,"P2",2024-05-22,10.2,1527.3528,NA,NA,21.6,10.6309,7.2733,65.348,125.279
"CCR",50,"P2",2024-05-22,10.3,1527.3528,NA,NA,21.6,10.6117,7.2779,65.072,125.263
"CCR",50,"P2",2024-05-22,10.4,1527.3528,NA,NA,21.6,10.5799,7.2152,64.386,125.256
"CCR",50,"P2",2024-05-22,10.5,1527.3528,NA,NA,21.6,10.5708,7.2112,64.737,125.333
"CCR",50,"P2",2024-05-22,10.6,1527.3528,NA,NA,21.6,10.5347,7.102,63.158,125.266
"CCR",50,"P2",2024-05-22,10.7,1527.3528,NA,NA,21.6,10.5323,7.0132,63.118,125.206
"CCR",50,"P2",2024-05-22,10.8,1527.3528,NA,NA,21.6,10.4935,7.0644,63.085,125.13
"CCR",50,"P2",2024-05-22,10.9,1527.3528,NA,NA,21.6,10.4778,6.903,61.238,125.022
"CCR",50,"P2",2024-05-22,11,1527.3528,NA,NA,21.6,10.4804,6.6666,59.087,124.766
"CCR",50,"P2",2024-05-22,11.1,1527.3528,NA,NA,21.6,10.4366,6.558,56.103,124.829
"CCR",50,"P2",2024-05-22,11.2,1527.3528,NA,NA,21.6,10.4292,6.0092,54.194,124.837
"CCR",50,"P2",2024-05-22,11.3,1527.3528,NA,NA,21.6,10.4027,5.9196,53.092,124.921
"CCR",50,"P2",2024-05-22,11.4,1527.3528,NA,NA,21.6,10.4042,6.2419,55.603,125.026
"CCR",50,"P2",2024-05-22,11.5,1527.3528,NA,NA,21.6,10.3928,6.202,55.748,125.212
"CCR",50,"P2",2024-05-22,11.6,1527.3528,NA,NA,21.6,10.3573,6.2582,55.909,125.213
"CCR",50,"P2",2024-05-22,11.7,1527.3528,NA,NA,21.6,10.343,6.2604,55.915,125.237
"CCR",50,"P2",2024-05-22,11.8,1527.3528,NA,NA,21.6,10.3228,6.1507,54.823,125.205
"CCR",50,"P2",2024-05-22,11.9,1527.3528,NA,NA,21.6,10.2927,6.0817,53.747,125.127
"CCR",50,"P2",2024-05-22,12,1527.3528,NA,NA,21.6,10.2873,5.9419,52.24,125.06
"CCR",50,"P2",2024-05-22,12.1,1527.3528,NA,NA,21.6,10.2871,5.6341,50.334,125.015
"CCR",50,"P2",2024-05-22,12.2,1527.3528,NA,NA,21.6,10.2569,5.4749,48.863,125.105
"CCR",50,"P2",2024-05-22,12.3,1527.3528,NA,NA,21.6,10.2342,5.5868,49.956,125.22
"CCR",50,"P2",2024-05-22,12.4,1527.3528,NA,NA,21.6,10.2261,5.6009,49.877,125.224
"CCR",50,"P2",2024-05-22,12.5,1527.3528,NA,NA,21.6,10.2279,5.6007,49.745,125.245
"CCR",50,"P2",2024-05-22,12.6,1527.3528,NA,NA,21.6,10.2061,5.572,49.748,125.269
"CCR",50,"P2",2024-05-22,12.7,1527.3528,NA,NA,21.6,10.1982,5.6396,50.326,125.265
"CCR",50,"P2",2024-05-22,12.8,1527.3528,NA,NA,21.6,10.2071,5.6638,50.393,125.305
"CCR",50,"P2",2024-05-22,12.9,1527.3528,NA,NA,21.6,10.1842,5.7094,50.728,125.247
"CCR",50,"P2",2024-05-22,13,1527.3528,NA,NA,21.6,10.1657,5.6769,50.296,125.303
"CCR",50,"P2",2024-05-22,13.1,1527.3528,NA,NA,21.6,10.1598,5.5896,49.583,125.296
"CCR",50,"P2",2024-05-22,13.2,1527.3528,NA,NA,21.6,10.1556,5.5879,49.625,125.35
"CCR",50,"P2",2024-05-22,13.3,1527.3528,NA,NA,21.6,10.1452,5.5655,49.169,125.333
"CCR",50,"P2",2024-05-22,13.4,1527.3528,NA,NA,21.6,10.1484,5.5076,49.06,125.305
"CCR",50,"P2",2024-05-22,13.5,1527.3528,NA,NA,21.6,10.1271,5.4284,48.129,125.337
"CCR",50,"P2",2024-05-22,13.6,1527.3528,NA,NA,21.6,10.1209,5.4481,48.353,125.306
"CCR",50,"P2",2024-05-22,13.7,1527.3528,NA,NA,21.6,10.1132,5.4049,47.969,125.254
"CCR",50,"P2",2024-05-22,13.8,1527.3528,NA,NA,21.6,10.1116,5.4154,48.117,125.36
"CCR",50,"P2",2024-05-22,13.9,1527.3528,NA,NA,21.6,10.0941,5.4273,48.193,125.312
"CCR",50,"P2",2024-05-22,14,1527.3528,NA,NA,21.6,10.0889,5.435,48.301,125.313
"CCR",50,"P2",2024-05-22,14.1,1527.3528,NA,NA,21.6,10.0782,5.4595,48.291,125.345
"CCR",50,"P2",2024-05-22,14.2,1527.3528,NA,NA,21.6,10.0743,5.4208,47.261,125.269
"CCR",50,"P2",2024-05-22,14.3,1527.3528,NA,NA,21.6,10.0728,5.2592,46.735,125.313
"CCR",50,"P2",2024-05-22,14.4,1527.3528,NA,NA,21.6,10.0654,5.2394,46.481,125.325
"CCR",50,"P2",2024-05-22,14.5,1527.3528,NA,NA,21.6,10.0467,5.2387,46.452,125.297
"CCR",50,"P2",2024-05-22,14.6,1527.3528,NA,NA,21.6,10.0378,5.2613,46.851,125.439
"CCR",50,"P2",2024-05-22,14.7,1527.3528,NA,NA,21.6,10.027,5.368,48.827,125.721
"CCR",50,"P2",2024-05-22,14.8,1527.3528,NA,NA,21.6,10.0162,5.7256,50.898,125.802
"CCR",50,"P2",2024-05-22,14.9,1527.3528,NA,NA,21.6,10.0139,5.7551,51.023,125.751
"CCR",50,"P2",2024-05-22,15,1527.3528,NA,NA,21.6,9.9987,5.7835,51.162,125.853
"CCR",50,"P2",2024-05-22,15.1,1527.3528,NA,NA,21.6,9.9863,5.7547,51.095,125.848
"CCR",50,"P2",2024-05-22,15.2,1527.3528,NA,NA,21.6,9.9797,5.7684,50.72,125.83
"CCR",50,"P2",2024-05-22,15.3,1527.3528,NA,NA,21.6,9.9783,5.6713,50.225,125.757
"CCR",50,"P2",2024-05-22,15.4,1527.3528,NA,NA,21.6,9.9639,5.5615,48.528,125.685
"CCR",50,"P2",2024-05-22,15.5,1527.3528,NA,NA,21.6,9.9652,5.3706,47.428,125.651
"CCR",50,"P2",2024-05-22,15.6,1527.3528,NA,NA,21.6,9.9555,5.1709,45.773,125.676
"CCR",50,"P2",2024-05-22,15.7,1527.3528,NA,NA,21.6,9.9513,5.0267,44.641,125.669
"CCR",50,"P2",2024-05-22,15.8,1527.3528,NA,NA,21.6,9.9427,5.1659,45.84,125.68
"CCR",50,"P2",2024-05-22,15.9,1527.3528,NA,NA,21.6,9.932,5.2004,46.562,125.656
"CCR",50,"P2",2024-05-22,16,1527.3528,NA,NA,21.6,9.9312,5.2325,45.953,125.747
"CCR",50,"P2",2024-05-22,16.1,1527.3528,NA,NA,21.6,9.9245,5.1124,45.352,125.667
"CCR",50,"P2",2024-05-22,16.2,1527.3528,NA,NA,21.6,9.9222,5.1375,45.348,125.753
"CCR",50,"P2",2024-05-22,16.3,1527.3528,NA,NA,21.6,9.9126,5.1235,45.274,125.755
"CCR",50,"P2",2024-05-22,16.4,1527.3528,NA,NA,21.6,9.9053,5.1569,45.874,125.788
"CCR",50,"P2",2024-05-22,16.5,1527.3528,NA,NA,21.6,9.8984,5.1927,44.666,125.784
"CCR",50,"P2",2024-05-22,16.6,1527.3528,NA,NA,21.6,9.9097,4.9517,44.32,125.791
"CCR",50,"P2",2024-05-22,16.7,1527.3528,NA,NA,21.6,9.8801,4.8314,42.663,125.961
