"Reservoir","Site","Site_code","Date","Depth_m","Distance","Dry_start","Dry_end","Max_Depth_Site_m","Temp_C","DO_mgL","DOsat_percent","SpCond_uScm"
"CCR",92,"C1",2024-05-22,0.1,345.0336,NA,NA,2.4,26.5,9.55,117.1,113.9
"CCR",92,"C1",2024-05-22,1,345.0336,NA,NA,2.4,25,9.31,116.4,113.1
"CCR",92,"C1",2024-05-22,2,345.0336,NA,NA,2.4,23.3,9.63,110.8,109.1
"CCR",96,"B2",2024-05-22,0.1,240.792,NA,NA,1.8,27.2,9.49,116.8,114.6
"CCR",96,"B2",2024-05-22,1,240.792,NA,NA,1.8,25,9.2,108.8,111.7
"CCR",96,"B2",2024-05-22,1.5,240.792,NA,NA,1.8,22.5,8.34,94.1,101.1
"CCR",98,"B1",2024-05-22,0.1,188.6712,NA,NA,0.7,27.3,8.37,104.2,110.7
"CCR",98,"B1",2024-05-22,0.5,188.6712,NA,NA,0.7,20,8.48,91.1,43.4
"CCR",101,"S1",2024-05-22,0.1,0,NA,NA,0.1,19.5,9.61,102.6,34.5
"CCR",100,"S2",2024-05-22,0.1,124.0536,NA,NA,0.1,19,8.18,85.2,35.5
"CCR",98,"B1",2024-06-19,0.1,188.6712,103.632,178.6128,0.4,26.3,6.69,79.4,112.8
"CCR",98,"B1",2024-06-19,0.4,188.6712,103.632,178.6128,0.4,19.8,2.11,21.6,59.3
"CCR",101,"S1",2024-06-19,0.1,0,103.632,178.6128,0.1,20.9,9.58,102.8,51.4
"CCR",100,"S2",2024-06-19,0.1,100.584,103.632,178.6128,0.1,20.7,5.97,65.1,52.1
"CCR",96,"B2",2024-06-19,0.1,240.792,103.632,178.6128,1.3,28.4,8.01,99.5,113.7
"CCR",96,"B2",2024-06-19,0.5,240.792,103.632,178.6128,1.3,27,7.42,90.4,112.5
"CCR",96,"B2",2024-06-19,1,240.792,103.632,178.6128,1.3,25.9,6.03,72.2,103.9
"CCR",92,"C1",2024-06-19,0.1,345.0336,103.632,178.6128,1.8,27.8,9.1,112,114.9
"CCR",92,"C1",2024-06-19,0.5,345.0336,103.632,178.6128,1.8,27.7,9,110.3,114.9
"CCR",92,"C1",2024-06-19,1,345.0336,103.632,178.6128,1.8,26.7,8.65,104.4,113.7
"CCR",92,"C1",2024-06-19,1.5,345.0336,103.632,178.6128,1.8,26.7,8.26,99.6,113.6
"CCR",98,"B1",2024-07-11,0.1,204.216,68.58,202.692,0.1,22.8,3.22,39.3,57.1
"CCR",100,"S2",2024-07-11,0.1,65.532,68.58,202.692,0.1,21.5,6.82,75.4,56.2
"CCR",101,"S1",2024-07-11,0.1,0,68.58,202.692,0.1,21.6,8.7,96.6,52.7
"CCR",96,"B2",2024-07-11,0.1,240.792,68.58,202.692,0.8,29.5,7.69,97.5,113.8
"CCR",96,"B2",2024-07-11,0.5,240.792,68.58,202.692,0.8,29.2,7.65,97,111.7
"CCR",96,"B2",2024-07-11,0.8,240.792,68.58,202.692,0.8,29.2,7.65,97.2,111.9
"CCR",92,"C1",2024-07-11,0.1,345.0336,68.58,202.692,1.3,28.6,8.5,106.7,115.9
"CCR",92,"C1",2024-07-11,0.5,345.0336,68.58,202.692,1.3,28.5,8.47,106.4,116
